BAE,Industri,Email,Fax,Papan_Pencatatan,Telepon
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,corporatesecretary@skbfood.id,(021) 7463 7390,Pengembangan,(021) 7463 7390
PT. Ficomindo Buana Registrar,Minyak & Gas,corsec@raja.co.id,021 2357 9803,Utama,021 2929 1053
PT. Adimitra Jasa Korpora,Perdagangan Ritel Barang Primer,corp_sec@ranchmarket.co.id,(62-21) 5835 0999,Pengembangan,(62-21) 5835 1999
PT. Sirca Datapro Perdana,Pengelola & Pengembang Real Estat,corsec@ristiagroup.com,7511025,Utama,7511441
PT. Bima Registra,Logistik & Pengantaran,corpsecretary@utamaradarcahaya.com,(021) 57930077,Akselerasi,(021) 57930507
PT. Bima Registra,Pengelola & Pengembang Real Estat,corporate.secretary@repowerasiaindonesia.com,(021) 2503 3399,Pengembangan,(021) 2503 3198
PT. Bima Registra,Jasa Investasi,corsec@reliancesekuritas.com,021-29119951,Utama,021-29520558
PT. Bima Registra,Pengelola & Pengembang Real Estat,corsec@tanrise.com,031 8545792,Pengembangan,031 8544400
PT. Datindo Entrycom,Rokok,id_corpsec@bat.com,(021) 22770111,Utama,(021) 5268388
PT. Adimitra Jasa Korpora,Batu Bara,rmk@ptrmk.com,(021) 582 2555,Utama,(021) 582 2555
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corsec@rockfields.co.id,+62 21 2978 3001,Pengembangan,+62 21 2978 3000
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,kwan_silvana@yahoo.com,021-29022888,Pengembangan,021-52970288
PT. Raya Saham Registra,Penyedia Jasa Kesehatan,corporate.secretary@grhakedoya.com,(021)56982233,Utama,(021)29910999
PT. Sinartama Gunita,Pengangkutan Darat Penumpang,steady_safetbk@yahoo.com,021-27883410,PENGEMBANGAN,021-27883411
PT. Bima Registra,Penyedia Jasa Kesehatan,corsec@emc.id,(021) 29779969,Pengembangan,(021) 29779977
PT. Adimitra Jasa Korpora,Barang Kimia,corsec@saraswanti.com,(031) 82516555,Utama,(031) 82516888
PT. Raya Saham Registra,Logistik & Pengantaran,corp.secretary@sap-express.com,(021) 22806627,Pengembangan,(021) 22806611
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corsec@kotasatuproperti.com ,+62 24 7690 1749 ,Pengembangan,+62 24 7690 1735
PT. Ficomindo Buana Registrar,Pakaian & Barang Mewah,corsec@sbatextile.com,(022) 7947 200,Pengembangan,(022) 7947 100/ 400
PT. Sinartama Gunita,Kelistrikan,sccfin@cbn.net.id, corpsec@sucaco.com,(021) 31931119,Utama
PT. Raya Saham Registra,Media,corsec@scm.co.id,2793 5598,Utama,2793 5599
PT. Datindo Entrycom,Barang Rumah Tangga,corsec@scnp.co.id,(021) 8230232,Pengembangan,(021) 8233320
PT. Adimitra Jasa Korpora,Logistik & Pengantaran,jonathan_w@sidomulyo.com,(021) 4266020,Pengembangan,(021) 4266002
PT. Raya Saham Registra,Perdagangan Ritel Barang Primer,investor.relation@mpi-pharmaniaga.co.id,021-270 85958,Utama,021-270 85961
PT. Sinartama Gunita,Bank,saudara@bankwoorisaudara.com,(62-21) 50871900,Utama,(62-21) 50871906
PT. Adimitra Jasa Korpora,Peralatan Energi Alternatif,nfo@semacom-integrated.com,+62 251 861 5874,Pengembangan,+62 251 8615872
PT. Adimitra Jasa Korpora,Perusahaan Holding & Investasi,corporate@sfcapital.co.id,+62 21 2598 1342,Pengembangan,+62 21 2251 3339
PT. Adimitra Jasa Korpora,Batu Bara,corsec@sumberglobalenergy.com,021-2500243,Pengembangan,021-2500120
PT. Datindo Entrycom,Minyak & Gas,corpsec@sillomp.com,(62-21)3867521,Utama,(62-21)3863861
PT. Raya Saham Registra,Farmasi,info@sidomuncul.co.id,(024) 7692 8815,Utama,(024) 7692 8811
PT. Sharestar Indonesia,Penyedia Jasa Kesehatan,corporate.secretary@siloamhospitals.com,021-5460075,Utama,021-25668000
PT. Raya Saham Registra,Produk Makanan Pertanian,corporate.secretary@simp.co.id,021-5793 7504,Utama,021-5795 8822 ext 5000/5001
PT. Raya Saham Registra,Produk Makanan Pertanian,info.sreeya@sreeyasewu.com,021-27083636,Pengembangan,021-50991599
PT. EDI Indonesia,Makanan Olahan,skbm@sekarbumi.com,(021) 51401212,Pengembangan,(021) 51401122
PT. Adimitra Jasa Korpora,Mesin, superkrane@superkrane.com, (021) 441 8290  ,PENGEMBANGAN, (021) 441 3455
PT. Sirca Datapro Perdana,Perangkat Lunak,info.northcliff@ncitranusa.com,021-7975948,Pengembangan,021-7975947
PT. Adimitra Jasa Korpora,Ritel Khusus,corporate@gaya-slis.com,(021) 4520716,Pengembangan,(021)4509888
PT. Datindo Entrycom,Material Konstruksi,corsec@semenbaturaja.co.id,(0711) 512126,Utama,(0711) 511261
PT. Datindo Entrycom,Material Konstruksi,corpsec.sbi@sig.id,29863333,Utama,29861000
PT. Sinartama Gunita,Pengelola & Pengembang Real Estat,ferry@rancamaya.com,(021) 5793 6730,Pengembangan,(021) 5793 6733
PT. Sharestar Indonesia,Logistik & Pengantaran, corporate.secretary@samudera.id , (021) 25675628 ,Utama, (021) 25676999
PT. Adimitra Jasa Korpora,Wadah & Kemasan,satyamitra@satyamira.com,+6221 5950089,Utama,+6221 5950988
PT. Bima Registra,Konstruksi Bangunan,corsec@konstruksimas.co.id,(021) 83707143,Akselerasi,(021) 8250095
PT. Adimitra Jasa Korpora,Batu Bara,contact@go-eagle.co.id,021 - 5761817,Pengembangan,021 - 5761815
PT. Sinartama Gunita,Komponen Otomotif,lidiana.widjojo@adr-group.com,021-661-8438/669-6237,Utama,(021) 661-00-33
PT. Bima Registra,Pariwisata & Rekreasi,corporate@sunlakehotel.com,"(021) 650 9970, 651 9889, 650 2255",Pengembangan,"(021) 650 9969, 650 1010, 650 1515, 3119 2888"
PT. Raya Saham Registra,Minyak & Gas,tidak berubah,+62 21-8086-1001,Utama,+62 21-8086-1000
PT. Bima Registra,Barang Rumah Tangga,investor@boston-industries.com,021 29159120,Akselerasi,021 29159118
PT. Datindo Entrycom,Farmasi,corporate.secretary@sohoglobalhealth.com ,(021) 4683 0505,Utama,(021) 4683 4411
PT. Adimitra Jasa Korpora,Department Store,sonatopas@stti.co.id,021-5213066,Utama,021-5213056
PT. Sinartama Gunita,Jasa Profesional,corporate.secretary@sos.co.id,+62 21 350 5913,Pengembangan,+62 21 350 5915
PT. EDI Indonesia,Wadah & Kemasan,corp.sec@ptsuparmatbk.com,(031) 766 3287,UTAMA,(031) 766-666
PT. Datindo Entrycom,Produk & Perlengkapan Bangunan,corpsec@suryapertiwi.co.id,(62-21) 568-0068,Utama, (62-21) 2929-8585
PT. Sinartama Gunita,Logam & Mineral,email@wilton-groups.com,(62) 21-612 5583,Pengembangan,(62) 21-612 5585
PT. Ficomindo Buana Registrar,Penyedia Jasa Kesehatan,chandra.rahardja@mayapadahospital.com,021-5529036/5529420,Utama,021-55781888
PT. Adimitra Jasa Korpora,Pakaian & Barang Mewah,welly.salam@sritex.co.id,(0271) 593488 ,Pengembangan,(0271) 593188
PT. Sinartama Gunita,Barang Kimia,bennyherman@indoacidatama.co.id,021 - 5366 0698,Utama,021-5366-07-77
PT. Datindo Entrycom,Perusahaan Holding & Investasi,investor.relation@saratoga-investama.com,021 57944781,Utama,021 57944355
PT. Datindo Entrycom,Produk Makanan Pertanian,corporate@ssms.co.id,(021) 2903 5405,Utama,(021) 2903 5401
PT. Sinartama Gunita,Pakaian & Barang Mewah,mahayopujiarto@yahoo.com,"022-7796435, 022-7798302",PENGEMBANGAN,022-7798289
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corporate.secretary@sta.co.id,+62 61 414 8866,Utama,+62 61 415 6262
PT. Sharestar Indonesia,Perusahaan Holding & Investasi,cs@buanaarthaanugerah.co.id,021-23584401 ,Utama,021-23585612
PT. Adimitra Jasa Korpora,Minyak & Gas,handhi.saputro@sugihenergy.com,021-27708802,PENGEMBANGAN,021-57948877
PT. Ficomindo Buana Registrar,Perhutanan & Kertas,public.relations@sljglobal.com, corporate.legal3@sljglobal.com ,(021) 577-1818 ,Pengembangan
PT. Raya Saham Registra,Jasa Telekomunikasi Nirkabel,Corporate.Secretary@stptower.com,(021) 57950077,Pengembangan,(021) 57900505
PT. Adimitra Jasa Korpora,Perhutanan & Kertas,info@sriwahana.id,(62-271) 7687178,Pengembangan,(62-271) 7687222
PT. EDI Indonesia,Wadah & Kemasan,tunasalfin@cbn.net.id,021 8317683,Pengembangan,021 8317322
PT. Adimitra Jasa Korpora,Konstruksi Bangunan,info@lancartamasejati.com,021-27510724,Pengembangan,021-7392222
PT. Raya Saham Registra,Produk Makanan Pertanian,TAP.corsec@tap-agri.com,Fax (62-21) 5794-4745,Utama,(62-21) 5794-4737
PT. Sirca Datapro Perdana,Logam & Mineral, rini@pttms.co.id ,(021)6190135 ,Pengembangan,	(021)6190131
PT. Raya Saham Registra,Produk Perawatan Tubuh,corporatesecretary@mandom.co.id,021-29809501,Utama,021-29809500
PT. Adimitra Jasa Korpora,Batu Bara,corporate.secretary@transcoalpacific.com,+62 21 2994 1886,Pengembangan,+62 21 2994 1389
PT. Adimitra Jasa Korpora,Batu Bara,corsec@tebe.co.id,(021) 5010 6299,Utama,(021) 5010 6300
PT. Adimitra Jasa Korpora,Aplikasi & Jasa Internet,admin.corsec@telefast.co.id,021 - 57933556,Pengembangan,021 - 29676236
PT. EDI Indonesia,Makanan Olahan,corporate@tigaraksa.co.id ,2179181379,Pengembangan,021 - 2527300
PT. Adimitra Jasa Korpora,Utilitas Listrik,corsec@terregra.com,(021) 3049 7778,Utama,(021) 3049 7777
PT. Sinartama Gunita,Perdagangan Aneka Barang Perindustrian,headoffice@tiraaustinite.com,(021) 460 2593,Pengembangan,(021) 460 2594
PT. Datindo Entrycom,Produk Makanan Pertanian,corsec@teladanprima.com,+6221 29600333,Utama,+6221 29600300
PT. Adimitra Jasa Korpora,Logistics & Deliveries,corp.sec@temasline.com,021-43938658,UTAMA,021-4302388
PT. Sinartama Gunita,Media,corsec@tempo.co.id,(021) 536 - 2025/7206995,Pengembangan,021-536-3790/530 6392
PT. Sharestar Indonesia,Logistik & Pengantaran,corsec@ged.co.id,(021) 83700023,Pengembangan,(021) 83703700
PT. Datindo Entrycom,Batu Bara,corsec@tbsenergi.com,021-50200352,Utama,021-50200353
PT. Adimitra Jasa Korpora,Konstruksi Bangunan, corporate.secretary@totalindo.co.id,(+6221) 8379 2199,Utama,(+6221) 8379 2192 - 95
PT. Raya Saham Registra,Jasa Telekomunikasi Nirkabel,Irfan.Ghazali@protelindo.net,(021) - 23586446,Utama,(021) - 23585500
PT. Sinartama Gunita,Batu Bara,corsec@pt-tpm.com,021-22958737/38,Pengembangan,021-22958999
PT. Ficomindo Buana Registrar,Batu Bara,asnita.kasmy@tram.co.id,62-21 72783706,Pengembangan,62-21 72783708
PT. Adimitra Jasa Korpora,Perdagangan Aneka Barang Perindustrian,corsec@triwirainsanlestari.com,021-6018922, 021-6018924,Pengembangan
PT. Sinartama Gunita,Jasa Investasi,corporate.secretary@trimegah.com,+62-21 2924 9150,Utama,+62-21 2924 9088
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corsec@trinitiland.com,021 80821403,Pengembangan,021 30066688
PT. Raya Saham Registra,Ritel Khusus,mely@oke.com,021-3915808 dan 021-3915710,Pengembangan,021-31905997
PT. Sinartama Gunita,Pakaian & Barang Mewah,corporate.secretary@trisula.com,021-58358033,Pengembangan,021-58357377
PT. Adimitra Jasa Korpora,Pengangkutan Darat Penumpang,corporatesecretary@transkon-rent.com,(0542) 770403,Utama,(0542) 770401
PT. Raya Saham Registra,Wadah & Kemasan,corsec@trias-sentosa.com,031 8972998,Utama,031 8975825
PT. Adimitra Jasa Korpora,Pengelola & Pengembang Real Estat,corsec@trinitidinamik.com,021 - 29541843,Pengembangan,021 - 29201133
PT. Adimitra Jasa Korpora,Logistik & Pengantaran,budi.gunawan@gunatimurraya.com,(021) 6910926,PENGEMBANGAN,(021) 6910618
PT. Adimitra Jasa Korpora,Pembiayaan Konsumen,tfi_pusat@yahoo.com,021-5155484,PENGEMBANGAN,021-5155477
PT. Raya Saham Registra,Farmasi,investorrelation@thetempogroup.com,2920-9999,Utama,2921-8888 (5438)
PT. Datindo Entrycom,Ritel Khusus,dewi.yunita@tunasgroup.com,(021) 799 562,Utama,(021) 794 4788
PT. Sinartama Gunita,Pariwisata & Rekreasi,corsec@ptpakuan.com,+62 1 5154128,Pengembangan,+6221 5154126
PT. Sinartama Gunita,Produk Perawatan Tubuh,corporate-secretary@unicharm.co.id,+62 21 2918 9199,Utama,+62 21 2918 9191
PT. Adimitra Jasa Korpora,Ritel Khusus,corporatesecretary@ufoelektronika.com,(031) 5037705,Pengembangan,(031) 5037745
PT. Adimitra Jasa Korpora,Makanan Olahan,eddikur@ultrajaya.co.id, admin@ultrajaya.co.id,(022) 665-4612,Utama
PT. Raya Saham Registra,Barang Kimia,corp_sect@uic.co.id,(021) 57905111,Utama,(021) 57905100
PT. Adimitra Jasa Korpora,"Pendukung Minyak, Gas & Batu Bara",info@ulimanitra.co.id,(0711) 359469,Utama,(0711) 365157/ 365158/ 365580
PT. Sharestar Indonesia,Pakaian & Barang Mewah,admin@nusantarainticorpora.com,021-29391243,PENGEMBANGAN,021-29391242
PT. EDI Indonesia,Produk Makanan Pertanian,fitrib@bakriesumatera.com,(021) 252-1252,Pengembangan,(021) 29941286-87
PT. Raya Saham Registra,Mesin,ir@unitedtractors.com,4600655,Utama,4605959
PT. Sharestar Indonesia,Produk Perawatan Tubuh,unvr.indonesia@unilever.com,021- 80827002,Utama,021- 80827000
PT. Adimitra Jasa Korpora,Perusahaan Holding & Investasi,corsec@victoriainvestama.co.id,(021)50992951,Utama,(021)50992950
PT. Ficomindo Buana Registrar,Media,corsec@vivagroup.co.id,021-22535515,Pengembangan,021-22535575
PT. Raya Saham Registra,Pembiayaan Konsumen,investor@mizuho-ls.co.id,021-50851849,Pengembangan,021-50851848
PT. Sinartama Gunita,Produk Makanan Pertanian,iwansetiawan_se@yahoo.com wapo.sby@gmail.com,031-5352704,Pengembangan,031-5352705
PT. Datindo Entrycom,Konstruksi Bangunan,corsec@wikagedung.co.id,(021) 8590  4146,Utama,(021) 8590 8862
PT. Raya Saham Registra,Pengangkutan Darat Penumpang,edgar@whitehorse.co.id,021-29675005,Utama,021-29675555
PT. Datindo Entrycom,Perdagangan Ritel Barang Primer,finance_id_wico@dksh.com ,021-690 9436, 692 7766,Pengembangan
PT. Sharestar Indonesia,Aplikasi & Jasa Internet,corporate@surge.co.id,(021) 7659229,Utama,(021) 7659228
PT. Raya Saham Registra,Rokok,information@wismilak.com ,(031) 295 2800 ,Utama,(031) 295 2899
PT. Bima Registra,Pengelola & Pengembang Real Estat,winner.corsec@gmail.co,+62 778-458014,Utama,+62 778-426066
PT. Ficomindo Buana Registrar,Perangkat Lunak,corsec@wirglobal.com,(021) 5367 4611,Pengembangan,(021) 5367 8064
PT. Datindo Entrycom,Produk Makanan Pertanian,widodomakmurperkasa@wmp-group.co.id,(021) 8430 6790 / 91,Utama,(021) 8430 6787 / 88
PT. Datindo Entrycom,Produk Makanan Pertanian,corporate.secretary@wmu-group.co.id,(62 21) 8430 6790 / 91,Utama,(62 21) 8430 6787 / 88
PT. Datindo Entrycom,Material Konstruksi,sekper@wika-beton.co.id,2185903872,Utama,218192802
PT. Adimitra Jasa Korpora,Investment Services,corsec@yuliesekuritas.com,021-25981619,PENGEMBANGAN,021-20392025
PT BSR Indonesia,Perusahaan Holding Multi-sektor,legal@zebranusantara.co.id,(021) 2788 3914,Pengembangan,(021) 2788 3900
PT. Bima Registra,Ritel Khusus,corpsec@megaperintis.co.id,(021) 5290 5103,Pengembangan,(021) 5733 888
PT. Adimitra Jasa Korpora,Perangkat Komputer,corsec@zyrex.com,(021)5653322,Pengembangan,(021) 5653311
